External Library Name, Link to License, License Name, Binaries using the license, URL
gpr, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev/NOTICE.txt, Apache-2.0, ./qemu/linux-x86_64/qemu-system-x86_64-headless ./qemu/linux-x86_64/qemu-system-armel-headless ./qemu-img ./nimble_bridge ./qemu/linux-x86_64/qemu-system-armel OpenglRender.so ./qemu/linux-x86_64/qemu-system-i386 ./qemu/linux-x86_64/qemu-system-aarch64 ./qemu/linux-x86_64/qemu-system-aarch64-headless ./qemu/linux-x86_64/qemu-system-x86_64 ./emulator-check android-webrtc.so ./netsimd ./qsn emugl_common.so ./qemu/linux-x86_64/qemu-system-i386-headless ./netsim, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev
e2fs, http://www.linfo.org/e2fsprogs.html, GPL-2.0-only, bin64/e2fsck bin64/mkfs.ext4 ./emulator bin64/tune2fs bin64/fsck.ext4 bin64/resize2fs, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/e2fsprogs-1.42.13-patches.tar.xz
qemu-system, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev/LICENSES/LICENSE.APACHE2, Apache-2.0, ./qemu/linux-x86_64/qemu-system-x86_64-headless ./qemu/linux-x86_64/qemu-system-armel ./qemu/linux-x86_64/qemu-system-armel-headless ./qemu/linux-x86_64/qemu-system-aarch64-headless ./qemu/linux-x86_64/qemu-system-x86_64 ./qemu/linux-x86_64/qemu-system-i386-headless ./qemu/linux-x86_64/qemu-system-i386 ./qemu/linux-x86_64/qemu-system-aarch64, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev
c-ares, https://android.googlesource.com/platform/external/c-ares/+/refs/heads/emu-master-dev/LICENSE.md, MIT, ./qemu/linux-x86_64/qemu-system-x86_64-headless ./qemu/linux-x86_64/qemu-system-armel-headless ./qemu-img ./nimble_bridge ./qemu/linux-x86_64/qemu-system-armel OpenglRender.so ./qemu/linux-x86_64/qemu-system-i386 ./qemu/linux-x86_64/qemu-system-aarch64 ./qemu/linux-x86_64/qemu-system-aarch64-headless ./qemu/linux-x86_64/qemu-system-x86_64 ./emulator-check android-webrtc.so ./netsimd ./qsn emugl_common.so ./qemu/linux-x86_64/qemu-system-i386-headless ./netsim, https://android.googlesource.com/platform/external/c-ares/+/refs/heads/emu-master-dev
libvpx, https://chromium.googlesource.com/webm/libvpx/+/refs/heads/master/LICENSE, BSD-3-Clause, ./qemu/linux-x86_64/qemu-system-x86_64-headless ./qemu/linux-x86_64/qemu-system-armel-headless ./qemu/linux-x86_64/qemu-system-aarch64-headless ./qemu-img ./qemu/linux-x86_64/qemu-system-x86_64 ./emulator-check ./nimble_bridge android-webrtc.so ./qsn ./qemu/linux-x86_64/qemu-system-armel emugl_common.so OpenglRender.so ./qemu/linux-x86_64/qemu-system-i386-headless ./qemu/linux-x86_64/qemu-system-i386 ./qemu/linux-x86_64/qemu-system-aarch64, https://chromium.googlesource.com/webm/libvpx/
libc++, https://android.googlesource.com/toolchain/clang/+/refs/heads/master/LICENSE.TXT, LLVM-exception, ./qemu/linux-x86_64/qemu-system-x86_64-headless ./qemu/linux-x86_64/qemu-system-armel-headless ./qemu-img ./nimble_bridge ./qemu/linux-x86_64/qemu-system-armel ./crashreport lib64/libc++.so ./qemu/linux-x86_64/qemu-system-i386 ./qemu/linux-x86_64/qemu-system-aarch64 ./mksdcard ./emulator ./qemu/linux-x86_64/qemu-system-x86_64 ./emulator-check ./qemu/linux-x86_64/qemu-system-aarch64-headless lib64/libc++.so.1 ./netsimd ./qsn ./qemu/linux-x86_64/qemu-system-i386-headless ./netsim, https://android.googlesource.com/toolchain/clang/+/refs/heads/master/
Qt 5, https://doc.qt.io/qt-5/licensing.html, LGPL-3.0-only, lib64/qt/lib/libQt5GuiAndroidEmu.so.5 lib64/qt/plugins/imageformats/libqgif.so lib64/qt/lib/libxcb-xkb.so.1.0 lib64/qt/lib/libxcb-xkb.so.1.0.0 lib64/qt/plugins/imageformats/libqsvg.so lib64/qt/lib/libQt5DBusAndroidEmu.so.5 lib64/qt/lib/libxkbcommon-x11.so.0.0.0 lib64/qt/lib/libsoftokn3.so lib64/qt/lib/libQt5CoreAndroidEmu.so.5 lib64/qt/lib/libxcb-xkb.so.1 lib64/qt/lib/libfreetype.so.6 lib64/qt/lib/libxkbcommon.so.0 lib64/qt/lib/libQt5XcbQpaAndroidEmu.so.5 lib64/qt/lib/libxkbcommon-x11.so lib64/qt/lib/libxkbcommon.so lib64/qt/plugins/imageformats/libqwbmp.so lib64/qt/plugins/imageformats/libqwebp.so lib64/qt/plugins/imageformats/libqtiff.so lib64/qt/lib/libfontconfig.so.1 lib64/qt/lib/libxkbcommon-x11.so.0 lib64/qt/plugins/bearer/libqconnmanbearer.so lib64/qt/plugins/platforms/libqxcb.so lib64/qt/lib/libQt5PrintSupportAndroidEmu.so.5 lib64/qt/plugins/iconengines/libqsvgicon.so lib64/qt/plugins/bearer/libqnmbearer.so lib64/qt/lib/libxkbcommon.so.0.0.0 lib64/qt/lib/libX11-xcb.so.1 lib64/qt/lib/libsqlite3.so lib64/qt/lib/libQt5NetworkAndroidEmu.so.5 lib64/qt/plugins/imageformats/libqicns.so lib64/qt/lib/libQt5WidgetsAndroidEmu.so.5 ./emulator lib64/qt/plugins/imageformats/libqtga.so lib64/qt/plugins/bearer/libqgenericbearer.so lib64/qt/plugins/imageformats/libqjpeg.so lib64/qt/plugins/imageformats/libqico.so lib64/qt/lib/libX11-xcb.so.1.0 lib64/qt/plugins/platforminputcontexts/libcomposeplatforminputcontextplugin.so lib64/qt/lib/libX11-xcb.so.1.0.0 lib64/qt/lib/libQt5SvgAndroidEmu.so.5, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/qt-everywhere-src-5.12.1.tar.xz
libunwind, https://github.com/libunwind/libunwind/blob/master/COPYING, MIT, ./qemu/linux-x86_64/qemu-system-x86_64-headless ./qemu/linux-x86_64/qemu-system-armel-headless ./qemu-img android-emu-shared.so android-emu-metrics.so ./nimble_bridge ./qemu/linux-x86_64/qemu-system-armel ./crashreport android-emu-curl.so OpenglRender.so ./qemu/linux-x86_64/qemu-system-i386 ./qemu/linux-x86_64/qemu-system-aarch64 ./emulator ./qemu/linux-x86_64/qemu-system-x86_64 ./emulator-check ./qemu/linux-x86_64/qemu-system-aarch64-headless android-webrtc.so ./netsimd ./qsn emugl_common.so ./qemu/linux-x86_64/qemu-system-i386-headless android-emu-agents.so, https://github.com/libunwind/libunwind/releases/tag/v1.3.1
tinyobjloader, https://android.googlesource.com/platform/external/tinyobjloader/+/refs/heads/master/LICENSE, MIT, ./qemu/linux-x86_64/qemu-system-x86_64-headless ./qemu/linux-x86_64/qemu-system-armel-headless ./qemu/linux-x86_64/qemu-system-aarch64-headless ./qemu-img ./qemu/linux-x86_64/qemu-system-x86_64 ./emulator-check ./nimble_bridge android-webrtc.so ./qsn ./qemu/linux-x86_64/qemu-system-armel emugl_common.so OpenglRender.so ./qemu/linux-x86_64/qemu-system-i386-headless ./qemu/linux-x86_64/qemu-system-i386 ./qemu/linux-x86_64/qemu-system-aarch64, https://android.googlesource.com/platform/external/tinyobjloader/+/refs/heads/master
gfxstream, https://android.googlesource.com/platform/hardware/google/gfxstream/+/refs/heads/master/LICENSE, Apache-2.0, ./qemu/linux-x86_64/qemu-system-x86_64-headless ./qemu/linux-x86_64/qemu-system-armel-headless ./qemu-img android-emu-shared.so android-emu-metrics.so ./nimble_bridge ./qemu/linux-x86_64/qemu-system-armel ./crashreport android-emu-curl.so OpenglRender.so ./qemu/linux-x86_64/qemu-system-i386 ./qemu/linux-x86_64/qemu-system-aarch64 ./emulator ./qemu/linux-x86_64/qemu-system-x86_64 ./emulator-check ./qemu/linux-x86_64/qemu-system-aarch64-headless android-webrtc.so ./netsimd ./qsn emugl_common.so ./qemu/linux-x86_64/qemu-system-i386-headless android-emu-agents.so, https://android.googlesource.com/platform/hardware/google/gfxstream/+/refs/heads/master
mesa, https://mesa3d.org/license.html, MIT, lib64/gles_mesa/libGL.so lib64/gles_mesa/libGL.so.1 ./emulator, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/MesaLib-10.4.2.tar.bz2
angle, https://chromium.googlesource.com/angle/angle/LICENSE, BSD-3-Clause, ./emulator OpenglRender.so lib64/libshadertranslator.so, https://chromium.googlesource.com/angle/angle
hostapd, https://android.googlesource.com/platform/external/wpa_supplicant_8/+/refs/heads/emu-master-dev/NOTICE, BSD, ./qemu/linux-x86_64/qemu-system-x86_64-headless ./qemu/linux-x86_64/qemu-system-armel-headless ./qemu/linux-x86_64/qemu-system-aarch64-headless ./qemu-img ./emulator-check ./qemu/linux-x86_64/qemu-system-x86_64 ./nimble_bridge android-webrtc.so ./netsimd ./qsn ./qemu/linux-x86_64/qemu-system-armel emugl_common.so OpenglRender.so ./qemu/linux-x86_64/qemu-system-i386-headless ./qemu/linux-x86_64/qemu-system-i386 ./qemu/linux-x86_64/qemu-system-aarch64, https://android.googlesource.com/platform/external/wpa_supplicant_8/+/refs/heads/emu-master-dev
qemu, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev/LICENSE, GPL-2.0-only, ./qemu/linux-x86_64/qemu-system-x86_64-headless ./qemu/linux-x86_64/qemu-system-armel-headless ./qemu/linux-x86_64/qemu-system-aarch64-headless ./qemu-img ./qemu/linux-x86_64/qemu-system-x86_64 ./qemu/linux-x86_64/qemu-system-armel ./qemu/linux-x86_64/qemu-system-i386-headless ./qemu/linux-x86_64/qemu-system-i386 ./qemu/linux-x86_64/qemu-system-aarch64, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev
Qt Widgets, https://doc.qt.io/qt-5.12/qtWidgets-index.html#licenses-and-attributions, LGPL-3.0-only, ./qemu/linux-x86_64/qemu-system-aarch64 ./qemu/linux-x86_64/qemu-system-armel ./qemu/linux-x86_64/qemu-system-i386 ./qemu/linux-x86_64/qemu-system-x86_64, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/qt-everywhere-src-5.12.1.tar.xz
Tink, https://android.googlesource.com/platform/external/tink/+/refs/heads/upstream-master/LICENSE, Apache-2.0, ./qemu/linux-x86_64/qemu-system-x86_64-headless ./qemu/linux-x86_64/qemu-system-armel-headless ./qemu/linux-x86_64/qemu-system-aarch64-headless ./qemu/linux-x86_64/qemu-system-x86_64 ./emulator-check ./nimble_bridge ./qsn ./qemu/linux-x86_64/qemu-system-armel ./qemu/linux-x86_64/qemu-system-i386-headless ./qemu/linux-x86_64/qemu-system-i386 ./qemu/linux-x86_64/qemu-system-aarch64, https://android.googlesource.com/platform/external/tink/+/refs/heads/upstream-master
pixman-1, https://gitlab.freedesktop.org/pixman/pixman/blob/master/COPYING, MIT, ./qemu/linux-x86_64/qemu-system-x86_64-headless ./qemu/linux-x86_64/qemu-system-armel-headless ./qemu/linux-x86_64/qemu-system-aarch64-headless ./qemu/linux-x86_64/qemu-system-x86_64 ./emulator-check ./qsn ./qemu/linux-x86_64/qemu-system-armel ./qemu/linux-x86_64/qemu-system-i386-headless ./qemu/linux-x86_64/qemu-system-i386 ./qemu/linux-x86_64/qemu-system-aarch64, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/pixman-0.34.0.tar.gz
grpc++, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev/NOTICE.txt, Apache-2.0, ./qemu/linux-x86_64/qemu-system-x86_64-headless ./qemu/linux-x86_64/qemu-system-armel-headless ./qemu-img ./nimble_bridge ./qemu/linux-x86_64/qemu-system-armel OpenglRender.so ./qemu/linux-x86_64/qemu-system-i386 ./qemu/linux-x86_64/qemu-system-aarch64 ./qemu/linux-x86_64/qemu-system-aarch64-headless ./qemu/linux-x86_64/qemu-system-x86_64 ./emulator-check android-webrtc.so ./netsimd ./qsn emugl_common.so ./qemu/linux-x86_64/qemu-system-i386-headless ./netsim, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev
grpc, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev/NOTICE.txt, Apache-2.0, ./qemu/linux-x86_64/qemu-system-x86_64-headless ./qemu/linux-x86_64/qemu-system-armel-headless ./qemu-img ./nimble_bridge ./qemu/linux-x86_64/qemu-system-armel OpenglRender.so ./qemu/linux-x86_64/qemu-system-i386 ./qemu/linux-x86_64/qemu-system-aarch64 ./qemu/linux-x86_64/qemu-system-aarch64-headless ./qemu/linux-x86_64/qemu-system-x86_64 ./emulator-check android-webrtc.so ./netsimd ./qsn emugl_common.so ./qemu/linux-x86_64/qemu-system-i386-headless ./netsim, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev
ffmpeg, https://github.com/FFmpeg/FFmpeg/blob/master/LICENSE.md, GPL-2.0-or-later, ./qemu/linux-x86_64/qemu-system-x86_64-headless ./qemu/linux-x86_64/qemu-system-armel-headless ./qemu/linux-x86_64/qemu-system-aarch64-headless ./qemu-img ./qemu/linux-x86_64/qemu-system-x86_64 ./emulator-check ./nimble_bridge android-webrtc.so ./qsn ./qemu/linux-x86_64/qemu-system-armel emugl_common.so OpenglRender.so ./qemu/linux-x86_64/qemu-system-i386-headless ./qemu/linux-x86_64/qemu-system-i386 ./qemu/linux-x86_64/qemu-system-aarch64, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/ffmpeg-3.4.5.tar.xz
LibXml2, https://github.com/GNOME/libxml2/blob/mainline/Copyright, MIT, ./qemu/linux-x86_64/qemu-system-x86_64-headless ./qemu/linux-x86_64/qemu-system-armel-headless ./qemu-img android-emu-shared.so android-emu-metrics.so ./nimble_bridge ./qemu/linux-x86_64/qemu-system-armel OpenglRender.so ./qemu/linux-x86_64/qemu-system-i386 ./qemu/linux-x86_64/qemu-system-aarch64 ./emulator ./qemu/linux-x86_64/qemu-system-x86_64 ./emulator-check ./qemu/linux-x86_64/qemu-system-aarch64-headless android-webrtc.so ./qsn emugl_common.so ./qemu/linux-x86_64/qemu-system-i386-headless, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/libxml2-2.9.2.tar.gz
address_sorting, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev/NOTICE.txt, Apache-2.0, ./qemu/linux-x86_64/qemu-system-x86_64-headless ./qemu/linux-x86_64/qemu-system-armel-headless ./qemu-img ./nimble_bridge ./qemu/linux-x86_64/qemu-system-armel OpenglRender.so ./qemu/linux-x86_64/qemu-system-i386 ./qemu/linux-x86_64/qemu-system-aarch64 ./qemu/linux-x86_64/qemu-system-aarch64-headless ./qemu/linux-x86_64/qemu-system-x86_64 ./emulator-check android-webrtc.so ./netsimd ./qsn emugl_common.so ./qemu/linux-x86_64/qemu-system-i386-headless ./netsim, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev
tcmalloc, https://chromium.googlesource.com/external/github.com/gperftools/gperftools/+/refs/heads/master/COPYING, BSD-3-Clause, ./qemu/linux-x86_64/qemu-system-x86_64-headless ./qemu/linux-x86_64/qemu-system-armel-headless ./qemu-img android-emu-shared.so android-emu-metrics.so ./nimble_bridge ./qemu/linux-x86_64/qemu-system-armel ./crashreport android-emu-curl.so OpenglRender.so ./qemu/linux-x86_64/qemu-system-i386 ./qemu/linux-x86_64/qemu-system-aarch64 ./emulator ./qemu/linux-x86_64/qemu-system-x86_64 ./emulator-check ./qemu/linux-x86_64/qemu-system-aarch64-headless android-webrtc.so ./netsimd ./qsn emugl_common.so lib64/libtcmalloc_minimal.so.4 ./qemu/linux-x86_64/qemu-system-i386-headless android-emu-agents.so, https://chromium.googlesource.com/external/github.com/gperftools/gperftools/+/refs/heads/master
